Writing output from calling the Triangle Fixing Algorithm
Lambda = 0.9, gamma = 50.0, Etol = 0.25, TriTol = 0.01 
Iteration 117, E changed by 1.53, 3Loop: 0.6, Obj: 225.176, Last TriCheck = 1.0000000000000036
Iteration 118, E changed by 1.201, 3Loop: 0.7, Obj: 225.099, Last TriCheck = 1.0000000000000036
Iteration 119, E changed by 1.216, 3Loop: 0.5, Obj: 225.005, Last TriCheck = 1.0000000000000036
Iteration 120, E changed by 1.18, 3Loop: 0.4, Obj: 224.972, Last TriCheck = 1.0000000000000036
Iteration 121, E changed by 1.474, 3Loop: 0.5, Obj: 225.036, Last TriCheck = 0.5152529041256848
Iteration 122, E changed by 1.518, 3Loop: 0.4, Obj: 225.202, Last TriCheck = 0.5152529041256848
Iteration 123, E changed by 1.344, 3Loop: 0.5, Obj: 225.353, Last TriCheck = 0.5152529041256848
Iteration 124, E changed by 1.325, 3Loop: 0.4, Obj: 225.435, Last TriCheck = 0.5152529041256848
Iteration 125, E changed by 1.416, 3Loop: 0.4, Obj: 225.527, Last TriCheck = 0.5152529041256848
Iteration 126, E changed by 0.982, 3Loop: 0.4, Obj: 225.38, Last TriCheck = 0.5152529041256848
Iteration 127, E changed by 1.151, 3Loop: 0.4, Obj: 225.269, Last TriCheck = 0.5152529041256848
Iteration 128, E changed by 1.358, 3Loop: 0.4, Obj: 225.38, Last TriCheck = 0.5152529041256848
Iteration 129, E changed by 1.236, 3Loop: 0.5, Obj: 225.381, Last TriCheck = 0.5152529041256848
Iteration 130, E changed by 1.305, 3Loop: 0.4, Obj: 225.359, Last TriCheck = 0.5152529041256848
Iteration 131, E changed by 1.204, 3Loop: 0.5, Obj: 225.282, Last TriCheck = 0.5152529041256848
Iteration 132, E changed by 0.871, 3Loop: 0.5, Obj: 225.115, Last TriCheck = 0.5152529041256848
Iteration 133, E changed by 1.253, 3Loop: 0.5, Obj: 225.12, Last TriCheck = 0.5152529041256848
Iteration 134, E changed by 0.967, 3Loop: 0.4, Obj: 225.008, Last TriCheck = 0.5152529041256848
Iteration 135, E changed by 1.222, 3Loop: 0.4, Obj: 224.982, Last TriCheck = 0.5152529041256848
Iteration 136, E changed by 1.131, 3Loop: 0.4, Obj: 224.951, Last TriCheck = 0.5152529041256848
Iteration 137, E changed by 0.94, 3Loop: 0.5, Obj: 224.873, Last TriCheck = 0.5152529041256848
Iteration 138, E changed by 1.085, 3Loop: 0.4, Obj: 224.894, Last TriCheck = 0.5152529041256848
Iteration 139, E changed by 0.877, 3Loop: 0.5, Obj: 224.849, Last TriCheck = 0.5152529041256848
Iteration 140, E changed by 1.058, 3Loop: 0.4, Obj: 224.845, Last TriCheck = 0.5152529041256848
Iteration 141, E changed by 0.856, 3Loop: 0.5, Obj: 224.717, Last TriCheck = 0.4959304479984681
Iteration 142, E changed by 0.583, 3Loop: 0.5, Obj: 224.519, Last TriCheck = 0.4959304479984681
Iteration 143, E changed by 0.715, 3Loop: 0.4, Obj: 224.352, Last TriCheck = 0.4959304479984681
Iteration 144, E changed by 0.61, 3Loop: 0.5, Obj: 224.193, Last TriCheck = 0.4959304479984681
Iteration 145, E changed by 0.639, 3Loop: 0.5, Obj: 224.082, Last TriCheck = 0.4959304479984681
Iteration 146, E changed by 0.443, 3Loop: 0.5, Obj: 223.946, Last TriCheck = 0.4959304479984681
Iteration 147, E changed by 0.333, 3Loop: 0.4, Obj: 223.835, Last TriCheck = 0.4959304479984681
Iteration 148, E changed by 0.432, 3Loop: 0.4, Obj: 223.766, Last TriCheck = 0.4959304479984681
Iteration 149, E changed by 0.288, 3Loop: 0.5, Obj: 223.706, Last TriCheck = 0.4959304479984681
Iteration 150, E changed by 0.411, 3Loop: 0.6, Obj: 223.67, Last TriCheck = 0.4959304479984681
Iteration 151, E changed by 0.26, 3Loop: 0.5, Obj: 223.62, Last TriCheck = 0.4959304479984681
Iteration 152, E changed by 0.388, 3Loop: 0.6, Obj: 223.601, Last TriCheck = 0.4959304479984681
Iteration 153, E changed by 0.257, 3Loop: 0.5, Obj: 223.565, Last TriCheck = 0.4959304479984681
Iteration 154, E changed by 0.214, 3Loop: 0.5, Obj: 223.511, Last TriCheck = 0.4959304479984681
Iteration 155, E changed by 0.142, 3Loop: 0.4, Obj: 223.468, Last TriCheck = 0.4959304479984681
Iteration 156, E changed by 0.36, 3Loop: 0.4, Obj: 223.462, Last TriCheck = 0.4959304479984681
Iteration 157, E changed by 0.217, 3Loop: 0.4, Obj: 223.439, Last TriCheck = 0.4959304479984681
Iteration 158, E changed by 0.38, 3Loop: 0.4, Obj: 223.434, Last TriCheck = 0.4959304479984681
Iteration 159, E changed by 0.243, 3Loop: 0.4, Obj: 223.413, Last TriCheck = 0.4959304479984681
Iteration 160, E changed by 0.166, 3Loop: 0.4, Obj: 223.388, Last TriCheck = 0.4959304479984681
Iteration 161, E changed by 0.106, 3Loop: 0.4, Obj: 223.369, Last TriCheck = 0.04577334705076552
Iteration 162, E changed by 0.096, 3Loop: 0.4, Obj: 223.353, Last TriCheck = 0.04577334705076552
Iteration 163, E changed by 0.057, 3Loop: 0.4, Obj: 223.344, Last TriCheck = 0.04577334705076552
Iteration 164, E changed by 0.038, 3Loop: 0.4, Obj: 223.337, Last TriCheck = 0.04577334705076552
Iteration 165, E changed by 0.131, 3Loop: 0.4, Obj: 223.325, Last TriCheck = 0.04577334705076552
Iteration 166, E changed by 0.067, 3Loop: 0.4, Obj: 223.315, Last TriCheck = 0.04577334705076552
Iteration 167, E changed by 0.036, 3Loop: 0.4, Obj: 223.308, Last TriCheck = 0.04577334705076552
Iteration 168, E changed by 0.02, 3Loop: 0.5, Obj: 223.304, Last TriCheck = 0.04577334705076552
Iteration 169, E changed by 0.011, 3Loop: 0.4, Obj: 223.302, Last TriCheck = 0.04577334705076552
